ACRES,POP_2010,POP_2000,Manure_P_kg_ha,P_Ag_Buffered,RNAT45,PDEV,PFOR,PWETL,Ag_P_Runoff,Ag_P_Erosion,Ag_Tile_SSF,PIUCN_IA,PIUCN_IB,Ag_P_balance_kg_ha
15103.27,1253,1094,45.2612828,70.73979681,69.2628021,6,20.2067947,21.994091,13.64660269,0.217425685,0,0,0,41.97634953
17637.78,968,810,1.258016149,79.01604485,86.5270996,5,51.0994759,15.8052101,7.324117778,0.087560681,0,0,0,3.054159019
22039.97,2415,1493,17.3702478,75.09009863,77.0876999,8,21.3162537,46.0298882,13.44138164,0.176340665,0,0,0,16.1028694
17340.25,2889,2515,39.81942236,75.34063074,67.2412033,8,23.603653,24.2939377,19.49111324,0.29995847,0,0,0,36.91409386
20332.71,3359,3283,36.29321663,78.21109647,73.3573227,10,23.5623531,22.5993481,14.40610405,0.285361807,0,0,0,33.95087582
16451.07,299,198,1.373883504,76.91865479,88.693718,2,24.1924324,64.4384689,3.107805472,0.024404898,0,0,0,1.935227481
12046.06,403,320,18.1043588,45.23027602,69.4127579,4,18.5454674,26.6478577,11.62152064,0.1855415,0,0,0,20.1596677
13531.38,2790,1678,33.44520701,76.4091858,68.8617096,8,19.294405,16.5813351,17.26627288,0.435725504,0,0,0,30.11512505
26250.89,588,647,4.469441877,87.80525147,87.8378372,4,15.9480305,61.5348053,5.479599732,0.057431977,0,0,0,4.976838123
31806.32,165,305,0.327316507,99.37917861,99.5009995,1,20.6066246,74.2114334,3.185572036,0.031482903,0.216576217,0,0,0.30846239
12408.91,802,639,54.14963059,79.58896773,82.6254807,7,18.9961452,17.0035667,32.72857105,0.500872149,0,0,0,50.19873288
21487.27,3372,3152,35.76879909,88.06829081,81.3591385,8,19.3624401,21.803894,20.4709678,0.343378738,0,0,0,33.65078954
20861.25,763,793,22.76624794,64.1263278,68.7825165,3,30.0088692,29.5868111,15.64490524,0.166440651,0,0,0,21.96237389
30981.79,1867,1547,31.84466577,75.4579604,78.8320312,6,35.1848793,17.5164127,15.32618327,0.177452812,0,0,0,29.54829779
11292.94,1344,1126,45.6463549,71.12011378,64.8796158,7,22.8165016,16.8386364,31.56867604,0.399888353,0,0,0,42.70036858
31400.39,263,222,4.720741475,81.55130235,76.8554688,1,5.8361263,86.6015701,3.701766828,0.047208082,0,0,0,4.458107354
12181.56,827,672,32.13373239,80.29985596,76.3937531,5,23.6337681,32.9360504,18.86886504,0.244277201,0,0,0,29.7891718
13671.92,318,387,8.574679543,77.46338689,83.0504761,4,45.2039871,19.3273201,8.637004294,0.194069216,0,0,0,9.548125519
26939.25,3730,2931,0.861558673,86.76627535,93.2086182,9,39.0472336,31.3039227,1.787247919,0.027536292,0,0,0,2.532295852
33747.45,2379,2257,51.95679424,69.61498785,65.0946503,7,15.7450781,16.1995869,36.15871528,0.447330514,0,0,0,48.11613642
26751.45,7538,5386,5.608852281,74.14349159,83.0336304,15,25.7387333,22.182209,8.655319552,0.192662714,0,0,0,5.618359648
17045.85,3127,3288,36.20419668,78.13140681,70.5727921,12,22.7671242,20.8257198,21.10334585,0.318066777,0,0,0,33.86760116
11531.81,1464,1141,9.154635022,85.92404504,84.6202011,5,44.1678581,22.839983,12.98249084,0.182418422,0.138396787,0,0,8.608950631
19845.84,4798,4191,40.90331017,75.37954572,67.001236,11,14.8978319,12.9122095,28.32216492,0.447242122,0,0,0,37.0644458
22499.46,654,801,8.453261183,90.01531687,92.9057083,4,38.6364555,34.1085968,8.512689257,0.106645184,0,0,0,7.920764679
26201.34,582,415,4.586075092,62.50561293,80.357666,3,29.8439884,44.0781288,5.605797282,0.073917865,0,0,0,5.177827059
19691.74,6582,5944,20.51520866,63.01308745,66.5768204,15,20.88908,24.5735188,12.70909029,0.154966143,0,0,0,20.84804228
27225.2,423,380,3.018459535,79.86000933,88.0362625,3,25.3975544,52.2616539,7.930576357,0.130146238,0,0,0,3.361132083
13425.94,1772,1384,36.35761151,65.3469134,71.8273697,8,25.7030716,18.483593,15.98936096,0.168232264,0,0,0,33.70486573
25879.42,271,207,1.269583685,74.85793008,94.3383713,2,19.6630859,64.8371277,9.572136219,0.088279064,0,0,0,1.474220859
23267.4,851,796,9.126603382,93.28019426,90.7913284,4,27.2519016,42.5939789,8.431911232,0.128224487,0,0,0,9.404795131
28527.07,2466,2144,1.539178602,79.76373909,88.3288803,6,38.3109093,34.933342,3.302285714,0.119003044,0,0,0,4.523958391
20620.89,1747,1626,4.269701013,83.79068283,90.842041,5,51.2817726,14.7485046,8.948402867,0.12659976,0,0,0,6.014223704
14319.63,14930,10117,0.057818057,94.69026549,67.5751038,44,17.1834106,30.7089863,0.340408696,0.004793554,0,0,0,0.234235925
12225.61,1137,853,2.811244215,82.24818077,91.7481842,5,44.303009,35.7200356,5.070273787,0.085419616,0,0,0,3.959867809
22353.23,1125,779,31.351717,74.3476874,75.6067047,5,27.6799259,24.3889294,21.15649961,0.198012034,0,0,0,29.06421429
14548.78,1081,1264,24.64689697,82.05803056,83.8071823,5,39.8656006,21.9856091,15.68697406,0.189985116,0,0,0,22.92579767
14978.35,6794,5128,0,97.04749679,68.4230652,31,28.236166,28.111557,0.295135975,0.004941649,0,0,0,0
25695.63,362,207,5.711398125,47.62491926,93.9735718,2,18.4411869,54.7002869,4.972568977,0.045382937,0,0,0,6.359788247
32469.89,3564,3549,39.22841027,86.7513369,77.8698654,7,24.2610321,21.7470913,18.83110413,0.372239085,0,0,0,36.69663396
16444.39,9395,5475,0.281681733,89.93647609,81.8181839,40,10.8743744,45.1983376,1.761940842,0.041797551,0,0,0,0.827919798
34298.39,610,519,9.529976185,78.43673229,90.0897751,3,27.0447388,36.1252098,8.301473089,0.084344422,0,0,0,9.670267273
